	gene_short_name
PPAP2B	PPAP2B
PPARA	PPARA
PPARD	PPARD
PPARG	PPARG
PPARGC1A	PPARGC1A
PPARGC1B	PPARGC1B
PPAT	PPAT
PPEF1	PPEF1
PPIA	PPIA
PPM1A	PPM1A
PPM1B	PPM1B
PPM1D	PPM1D
PPM1E	PPM1E
PPM1F	PPM1F
PPM1G	PPM1G
PPP1CA	PPP1CA
PPP1CB	PPP1CB
PPP1CC	PPP1CC
PPP1R13L	PPP1R13L
PPP1R14C	PPP1R14C
PPP1R15A	PPP1R15A
PPP1R8	PPP1R8
PPP2CA	PPP2CA
PPP2CB	PPP2CB
PPP2R1A	PPP2R1A
PPP2R1B	PPP2R1B
PPP2R2B	PPP2R2B
PPP2R2D	PPP2R2D
PPP2R4	PPP2R4
PPP3CA	PPP3CA
PPP3CB	PPP3CB
PPP3CC	PPP3CC
PPP4C	PPP4C
PPP5C	PPP5C
PPRC1	PPRC1
PPT2	PPT2
PRAME	PRAME
PRC1	PRC1
PRDM1	PRDM1
PRDM14	PRDM14
PRDX1	PRDX1
PRDX2	PRDX2
PRDX3	PRDX3
PRDX4	PRDX4
PRDX5	PRDX5
PRDX6	PRDX6
PREX1	PREX1
PRF1	PRF1
PRICKLE1	PRICKLE1
PRKAA1	PRKAA1
PRKAA2	PRKAA2
PRKAB1	PRKAB1
PRKAB2	PRKAB2
PRKACA	PRKACA
PRKACB	PRKACB
PRKACG	PRKACG
PRKAG1	PRKAG1
PRKAG2	PRKAG2
PRKAG3	PRKAG3
PRKAR1A	PRKAR1A
PRKAR1B	PRKAR1B
PRKAR2A	PRKAR2A
PRKAR2B	PRKAR2B
PRKCA	PRKCA
PRKCB	PRKCB
PRKCD	PRKCD
PRKCE	PRKCE
PRKCG	PRKCG
PRKCH	PRKCH
PRKCI	PRKCI
PRKCQ	PRKCQ
PRKCSH	PRKCSH
PRKCZ	PRKCZ
PRKD1	PRKD1
PRKDC	PRKDC
PRKG2	PRKG2
PRKRA	PRKRA
PRL	PRL
PRLR	PRLR
PRMT1	PRMT1
PRMT2	PRMT2
PRMT3	PRMT3
PRMT5	PRMT5
PRMT6	PRMT6
PRMT7	PRMT7
PRMT8	PRMT8
PRNP	PRNP
PRODH	PRODH
PROKR2	PROKR2
PROM1	PROM1
PROP1	PROP1
PROX1	PROX1
PRPS1	PRPS1
PRPS1L1	PRPS1L1
PRPS2	PRPS2
PRSS8	PRSS8
PSAT1	PSAT1
PSEN1	PSEN1
PSEN2	PSEN2
PSENEN	PSENEN
PSIP1	PSIP1
PSME1	PSME1
PSMG1	PSMG1
PSMG2	PSMG2
PSPH	PSPH
PSTPIP1	PSTPIP1
PTCH1	PTCH1
PTCH2	PTCH2
PTCHD1	PTCHD1
PTCHD2	PTCHD2
PTCHD3	PTCHD3
PTCRA	PTCRA
PTEN	PTEN
PTGDR	PTGDR
PTGDS	PTGDS
PTGS1	PTGS1
PTGS2	PTGS2
PTH1R	PTH1R
PTHLH	PTHLH
PTK2	PTK2
PTK2B	PTK2B
PTK6	PTK6
PTK7	PTK7
PTN	PTN
PTP4A1	PTP4A1
PTP4A2	PTP4A2
PTP4A3	PTP4A3
PTPLA	PTPLA
PTPN1	PTPN1
PTPN11	PTPN11
PTPN12	PTPN12
PTPN13	PTPN13
PTPN14	PTPN14
PTPN2	PTPN2
PTPN21	PTPN21
PTPN22	PTPN22
PTPN23	PTPN23
PTPN3	PTPN3
PTPN4	PTPN4
PTPN5	PTPN5
PTPN6	PTPN6
PTPN7	PTPN7
PTPN9	PTPN9
PTPRA	PTPRA
PTPRB	PTPRB
PTPRC	PTPRC
PTPRD	PTPRD
PTPRE	PTPRE
PTPRF	PTPRF
PTPRG	PTPRG
PTPRH	PTPRH
PTPRJ	PTPRJ
PTPRK	PTPRK
PTPRM	PTPRM
PTPRN	PTPRN
PTPRN2	PTPRN2
PTPRO	PTPRO
PTPRR	PTPRR
PTPRS	PTPRS
PTPRT	PTPRT
PTPRU	PTPRU
PTPRZ1	PTPRZ1
PTTG1	PTTG1
PURA	PURA
PVRL1	PVRL1
PXDN	PXDN
PXDNL	PXDNL
PXN	PXN
PYCARD	PYCARD
PYCR1	PYCR1
PYCRL	PYCRL
PYDC1	PYDC1
PYGL	PYGL
PYGM	PYGM
PYGO2	PYGO2
PYHIN1	PYHIN1
PYY	PYY
QPCT	QPCT
RAB23	RAB23
RAB34	RAB34
RAB4A	RAB4A
RAC1	RAC1
RAC2	RAC2
RAD1	RAD1
RAD17	RAD17
RAD21	RAD21
RAD51	RAD51
RAD9A	RAD9A
RAF1	RAF1
RAG1	RAG1
RALA	RALA
RAPGEF5	RAPGEF5
RARA	RARA
RARB	RARB
RARG	RARG
RARRES2	RARRES2
RARRES3	RARRES3
RASA1	RASA1
RASD1	RASD1
RASGRP2	RASGRP2
RASL10A	RASL10A
RASL10B	RASL10B
RASSF1	RASSF1
RASSF2	RASSF2
RASSF4	RASSF4
RASSF7	RASSF7
RB1	RB1
RB1CC1	RB1CC1
RBBP4	RBBP4
RBBP5	RBBP5
RBBP7	RBBP7
RBBP8	RBBP8
RBCK1	RBCK1
RBKS	RBKS
RBL1	RBL1
RBL2	RBL2
RBM44	RBM44
RBM46	RBM46
RBP1	RBP1
RBP2	RBP2
RBP4	RBP4
RBPJ	RBPJ
RBPJL	RBPJL
RCN3	RCN3
RCVRN	RCVRN
RDH10	RDH10
RDX	RDX
REEP1	REEP1
REEP3	REEP3
REL	REL
RELA	RELA
RELB	RELB
RELT	RELT
REM1	REM1
RERE	RERE
RET	RET
RFNG	RFNG
RFWD2	RFWD2
RGL3	RGL3
RGMA	RGMA
RGS2	RGS2
RHEB	RHEB
RHO	RHO
RHOA	RHOA
RHOB	RHOB
RHOBTB2	RHOBTB2
RHOC	RHOC
RHOT1	RHOT1
RHOT2	RHOT2
RHOU	RHOU
RHOV	RHOV
RICTOR	RICTOR
RIF1	RIF1
RIMBP2	RIMBP2
RING1	RING1
RIPK1	RIPK1
RIPK2	RIPK2
RNASEL	RNASEL
RND1	RND1
RND3	RND3
RNF123	RNF123
RNF148	RNF148
RNF17	RNF17
RNF2	RNF2
RNF20	RNF20
RNF5	RNF5
RNF7	RNF7
RNPEPL1	RNPEPL1
RNU11	RNU11
ROCK1	ROCK1
ROR1	ROR1
ROR2	ROR2
RORA	RORA
RORB	RORB
RORC	RORC
ROS1	ROS1
RP1	RP1
RPE	RPE
RPIA	RPIA
RPL13	RPL13
RPL19	RPL19
RPL23	RPL23
RPL27A	RPL27A
RPL5	RPL5
RPN1	RPN1
RPRM	RPRM
RPS5	RPS5
RPS6	RPS6
RPS6KA1	RPS6KA1
RPS6KA2	RPS6KA2
RPS6KA3	RPS6KA3
RPS6KA5	RPS6KA5
RPS6KB1	RPS6KB1
RPS6KB2	RPS6KB2
RPSA	RPSA
RPTOR	RPTOR
RRAGA	RRAGA
RRAGB	RRAGB
RRAGC	RRAGC
RRAGD	RRAGD
RRAS	RRAS
RRAS2	RRAS2
RRM2	RRM2
RSAD2	RSAD2
RSPH1	RSPH1
RTKN	RTKN
RUNX1	RUNX1
RUNX1T1	RUNX1T1
RUNX2	RUNX2
RUNX3	RUNX3
RUVBL1	RUVBL1
RUVBL2	RUVBL2
RXRA	RXRA
RXRB	RXRB
RXRG	RXRG
RYBP	RYBP
RYK	RYK
RYR2	RYR2
S100A11	S100A11
S100A4	S100A4
S100A6	S100A6
S100A8	S100A8
S100B	S100B
S100G	S100G
S1PR1	S1PR1
S1PR2	S1PR2
S1PR3	S1PR3
SAE1	SAE1
SAFB	SAFB
SALL1	SALL1
SALL4	SALL4
SARDH	SARDH
SARM1	SARM1
SAT1	SAT1
SAT2	SAT2
SATB1	SATB1
SAV1	SAV1
SCAP	SCAP
SCARA3	SCARA3
SCCPDH	SCCPDH
SCD	SCD
SCG2	SCG2
SCGB1A1	SCGB1A1
SCMH1	SCMH1
SCML2	SCML2
SCN1A	SCN1A
SCN4A	SCN4A
SCN9A	SCN9A
SCRIB	SCRIB
SCTR	SCTR
SDHA	SDHA
SDHB	SDHB
SDHC	SDHC
SDHD	SDHD
SDR42E1	SDR42E1
SDS	SDS
SEC22C	SEC22C
SEC62	SEC62
SEC63	SEC63
SEL1L	SEL1L
SELE	SELE
SELENBP1	SELENBP1
SELL	SELL
SEMA4A	SEMA4A
SEMA6C	SEMA6C
SEPP1	SEPP1
SERP1	SERP1
SERPINA3	SERPINA3
SERPINB5	SERPINB5
SERPINE1	SERPINE1
SERPINE2	SERPINE2
SERPINH1	SERPINH1
SERTAD1	SERTAD1
SESN2	SESN2
SET	SET
SETD1A	SETD1A
SETD1B	SETD1B
SETD2	SETD2
SETD3	SETD3
SETD4	SETD4
SETD5	SETD5
SETD6	SETD6
SETD7	SETD7
SETD8	SETD8
SETDB1	SETDB1
SETDB2	SETDB2
SFMBT2	SFMBT2
SFN	SFN
SFRP1	SFRP1
SFRP2	SFRP2
SFRP4	SFRP4
SFTPB	SFTPB
SFTPD	SFTPD
SGCE	SGCE
SGK1	SGK1
SGPL1	SGPL1
SH2B1	SH2B1
SH3GLB1	SH3GLB1
SH3PXD2A	SH3PXD2A
SH3RF1	SH3RF1
SHC1	SHC1
SHC2	SHC2
SHE	SHE
SHH	SHH
SHMT1	SHMT1
SHMT2	SHMT2
SHOX	SHOX
SHOX2	SHOX2
SIAH1	SIAH1
SIAH2	SIAH2
SIGIRR	SIGIRR
SIGMAR1	SIGMAR1
SIL1	SIL1
SIRT1	SIRT1
SIRT2	SIRT2
SIX1	SIX1
SIX2	SIX2
SIX3	SIX3
SIX4	SIX4
SIX6	SIX6
SKP1	SKP1
SKP2	SKP2
SLC11A1	SLC11A1
SLC16A2	SLC16A2
SLC16A3	SLC16A3
SLC16A5	SLC16A5
SLC16A9	SLC16A9
SLC17A2	SLC17A2
SLC17A3	SLC17A3
SLC17A6	SLC17A6
SLC17A7	SLC17A7
SLC18A1	SLC18A1
SLC1A3	SLC1A3
SLC22A5	SLC22A5
SLC22A8	SLC22A8
SLC23A2	SLC23A2
SLC25A1	SLC25A1
SLC25A10	SLC25A10
SLC25A12	SLC25A12
SLC25A13	SLC25A13
SLC25A14	SLC25A14
SLC25A15	SLC25A15
SLC25A16	SLC25A16
SLC25A17	SLC25A17
SLC25A19	SLC25A19
SLC25A20	SLC25A20
SLC25A21	SLC25A21
SLC25A22	SLC25A22
SLC25A23	SLC25A23
SLC25A24	SLC25A24
SLC25A25	SLC25A25
SLC25A27	SLC25A27
SLC25A3	SLC25A3
SLC25A30	SLC25A30
SLC25A31	SLC25A31
SLC25A37	SLC25A37
SLC25A4	SLC25A4
SLC25A5	SLC25A5
SLC26A2	SLC26A2
SLC27A1	SLC27A1
SLC27A2	SLC27A2
SLC27A3	SLC27A3
SLC27A4	SLC27A4
